dataset,lang,region,task,map_task,cultural
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,No
overall,overall,overall,Overall,Overall,Yes
overall,overall,overall,Overall,Overall,Maybe
